ref_no,title,tender_value,bid_submission_end_date,emd,bid_open_date
27/2025-26/R-Divn/Delhi,"SRs to Billet No. 3A, 3C, 4A & 4C in RCC, Air Force Station, New Delhi (SH : Repair & maintenance of certain misc. works at various locations in Billet No. 3A & 4A at RCC).Subwork/Packages:Civil Work","₹14,12,149",05/06/2025 17:00,"₹28,243",05/06/2025 17:30
28/2025-26/R-DIVN/DELHI,"Reconstruction/Renovation of Building No. Block No. 10 & 17 in Tejas Camp, Air Force Station, New Delhi (SH : Repair & maintenance of damaged/missing cup boards and certain misc. works at various locations in Billet No. 3A & 4A at RCC).Subwork/Packages:Civil Work","₹28,21,975",05/06/2025 17:00,"₹56,440",05/06/2025 17:30
29/2025-26/R-DIVN/2025-26,"Renovation of Repertory Co. basement and old central A.C. Plant hall, Craft room at the entrance of Chahumukh hall and other misc. works at National School of Drama, New Delhi.Subwork/Packages:Civil Work","₹59,55,531",05/06/2025 17:00,"₹1,19,111",05/06/2025 17:30
30/2025-26/R-DIVN/DELHI,"Providing Services of maintenance staff for attending day to day complaints and miscellaneous works at 124 Inf Bn (TA) Sikh, National Stadium, New Delhi.Subwork/Packages:Civil Works","₹38,52,148",05/06/2025 17:00,"₹77,043",05/06/2025 17:30
31/2025-26/R-DIVN/DELHI,"Renovation of Barrack at CSD Guard, Tyagraj Marg, L&T Camp in R/O DHQ Security Troops, Defence Office Complex, New Delhi.Subwork/Packages:Civil Work","₹31,53,327",05/06/2025 17:00,"₹63,067",05/06/2025 17:30
27/EE-E/AE-E/GESD-III/2025-26,"RMO Lift at Office Building of CPWD Guwahati dg.2025-26 (SH: Comprehensive annual maintenance of Omega make 13 passenger (884 Kg) lift installed at O/o The ADG, NER, CPWD, Garchuk, Guwahati)Subwork/Packages:Comprehensive annual maintenance of Omega make 13 passenger (884 Kg) Lift","₹1,06,620",05/06/2025 15:00,"₹2,132",05/06/2025 15:30
94/2024-25/CCED/Chandigarh/Div/4th Call,"RMO Lifts installed at Kendriya Sadan Building, Sector 9-A, Chandigarh (SH: Comprehensive Maintenance of 4 Nos. Johnson make Lifts)","₹12,33,600",13/06/2025 15:00,"₹24,672",13/06/2025 15:30
02/NIT/CE(PATNA)/CPWD/2025-2026,"Comprehensive maintenance of GPRA Complex (Type-II- 119 Nos., Type-III- 100 Nos., Type-IV- 60 Nos., Type-V- 30 Nos. and Type-VI- 05 Nos.),  Electrical Sub-Station and CGHS Wellness Center at Ashiana Digha Road, Rajeev Nagar, Patna for 03 (Three) years.Subwork/Packages:Comprehensive maintenance of GPRA Complex (Type-II- 119 Nos., Type-III- 100 Nos., Type-IV- 60 Nos., Type-V- 30 Nos., Type-VI- 05 Nos.), Electrical Sub-Station and CGHS Wellness Center at Ashiana Digha Road, Rajeev Nagar, Patna for 03 (Three) years.","₹6,08,42,334",04/06/2025 15:00,"₹12,16,847",04/06/2025 15:30
02/NIT/CE/AGT/2025-2026,Construction of boundary wall of the New building campus site of IBSD at Takyelpat Imphal Manipur.,"₹6,84,02,579",04/06/2025 17:00,"₹13,68,052",04/06/2025 17:30
03/NIT/CE(PATNA)/CPWD/2025-2026,"Comprehensive maintenance of GPOA Complex G plus 8 at Ashiana Digha Road, Rajeev Nagar, Patna for 03 (Three) years.","₹4,18,81,723",04/06/2025 15:00,"₹8,37,634",04/06/2025 15:30
10/CE(Bhopal)/EE-I/2025-26,"Construction of 2 Nos. 108 Bedded(Double Occupancy) (G plus 3) storeyed Girls and Boys Hostel and Extension of Building for Department of Education in Social Science and Humanities (DESSH) for Regional Institute of Education(RIE) at Shamla Hills, Bhopal(M.P.).","₹55,16,44,412",13/06/2025 15:00,"₹65,16,444",13/06/2025 15:30
09/EE/Tirupati/e-Tender/2025-26,"Construction of Auditorium (250 members capacity) and providing IEI and Fans, power wiring, firefighting, manual fire alarm system, CCTV surveillance system, Wi-fi and networking system, AV system, stage lighting etc., for Composite Regional Centre (CRC) for Skill Development, Rehabilitation and Empowerment of Persons with Disabilities, Nellore, AP","₹8,92,78,576",04/06/2025 15:00,"₹17,85,572",04/06/2025 15:30
11/2025-26/EE/CPWD/Vijayawada,Constuction of Institutional Animal House Facility G plus 1 including providing IEI & Fans Power Wiring Fire fighting Manual fire alarm system 13 passengers lift CC TV System Wifi and Networking System for AIIMS Mangalagiri Guntur District Andhra PradeshSubwork/Packages:Two,"₹5,01,98,245",04/06/2025 15:00,"₹10,03,965",04/06/2025 15:30
31/EE(E)/AE(E)/GESD-II/2025-26,MOEI and Fans RMO Pump set DG sets at CPWD office Bamunimaidan Guwahati-21. (SH: Repairing and Servicing of DG at Bamunimaidan and Japorigog)Subwork/Packages:Repairing and Servicing of DG at Bamunimaidan and Japorigog Guwahati,"₹1,04,171",04/06/2025 15:00,"₹2,083",04/06/2025 15:30
02/EE&SM(C)-2/DPC-II/CPWD/2025-26,"Providing Comprehensive Consultancy Services for Construction of combined building for admin block, Quarter Guard, Quarter Master store, MT Complex & Office, and Multipurpose Hall (G Plus 3 with basement) at Chhawla Camp, Delhi for SHQ (Delhi) & SHQ (L&C).Subwork/Packages:Providing Comprehensive Consultancy Services for construction of combined building for admin block, Quarter Guard,Quarter Master store, MT Complex & Office and Multipurpose Hall (G Plus 3) with basement at Chhawla Camp (Delhi) for SHQ Delhi & SHQ (L & C).","₹57,00,000",12/06/2025 15:00,"₹1,14,000",12/06/2025 15:30
03/SE&PD/EE&SM(C)-Kimin/2025-26 (Recall),Construction of Combined Building G Plus 1 for Admin Block Quarter Guard and Quarter Master Store at 49th Bn ITBP Basar Arunachal Pradesh,"₹17,27,43,651",05/06/2025 15:00,"₹27,27,437",05/06/2025 15:30
06/EE-E/BCED/CPWD/2025-26,"Providing and Installation of Grid Connected Roof Top Solar Plant at National Institute for the Empowerment of Persons with Intellectual Disabilities (Divyangjan) regional Centre, B.T. Road, Bonhoogly, Kolkata-700090.Subwork/Packages:Providing and Installation of Grid Connected Roof Top Solar Plant.","₹25,26,885",05/06/2025 15:00,"₹50,538",05/06/2025 15:30
22/EE-GKP/2024-25 (2nd Recall),"Development works of Campus-II of CRPF Ayodhya including raising of natural ground level and Boundary wall alongwith Guard Room/Dormitory and Gate with overhead slab at Campus-II, CRPF, Ayodhya (UP).Subwork/Packages:one","₹6,84,80,634",05/06/2025 15:00,"₹13,69,613",05/06/2025 15:30
08/CE/EE/ACD/CPWD/Almora/2025-26,"Construction of 10 Bedded Hospital (Unit Hospital) at 5th Bn Hqr., SSB Champawat (UK) under Ranikhet Frontier.","₹5,00,62,532",06/06/2025 15:00,"₹10,01,300",06/06/2025 15:30
15/ACED/2025-26,"Renovation of Auditorium at Harivansh Rai Bachchan Cultural Center, University of Allahabad, Prayagraj comprising of Architectural and interior planning, Wall Paneling, False Ceiling, Stage Flooring, Auditorium chairs etc. including electrical works comprising of Internal E.I., DG Set, Audio-Video System, Stage Lighting, VRF Air Conditioning, Fire Fighting etc.","₹4,37,30,723",04/06/2025 15:00,"₹8,74,614",04/06/2025 15:30
02/NIT/CE CUM ED/BPZ/CPWD/2025-26,"Supply Installation testing & Commissioning of Audio-Video system including other associated services for 500 Seater Auditorium 2 Nos 90 Seaters Teaching halls at IISER ,Berhampur, OdishaSubwork/Packages:One","₹2,94,50,115",06/06/2025 15:00,"₹5,89,002",06/06/2025 15:30
03/SE/DC-6/V-Divn/2025-26,"Upgradation and Special repair work of Type-VI, Type-IV(S), Type-V(B), Transit flats and other miscellaneous works at Hudco Place Extension and AGV Complex, New Delhi (SH: Civil & Electrical works).Subwork/Packages:Upgradation and Special repair work of Type-VI, Type-IV(S), Type-V(B) Transit flats and other miscellaneous works at Hudco Place Extension and AGV Complex, New Delhi (SH: Civil & Electrical works).","₹20,63,79,562",06/06/2025 15:00,"₹30,63,796",06/06/2025 15:30
04/NIT/SE&PD/BGPC/2025-26,Construction of Married Hostel RCC Structure G Plus 6 and Finishing upto G Plus 4 at the Extended portion of the Land parcel Behind new Hostel Block in the Permanent Campus of IIM Bodhgaya  BiharSubwork/Packages:Married accommodation,"₹36,45,41,095",06/06/2025 15:00,"₹46,45,411",06/06/2025 15:30
07/CE/Dehradun/EE(Garhwal)/Dehradun/2025-26,"Construction of School Building Type A 02 Section upto First Floor Ramps and staff quarters T-II-04 Nos., T-III-04 Nos., T-V-01 No., Boundary wall, Electric Sub Station  Guard Room  Canteen including development work at Kendriya Vidyalaya Agustyamuni, Rudraprayag, Uttarakhand.Subwork/Packages:Construction of School Building Type A 02 Section upto First Floor Ramps and staff quarters T-II-04 nos., T-III-04 Nos., T-V-01 No., Boundary wall, Electric Sub Station  Guard Room Canteen including development work at Kendriya Vidyalaya Augustyamuni, Rudraprayag, Uttarakhand.","₹40,84,11,886",06/06/2025 15:00,"₹50,84,200",06/06/2025 15:30
30/2025-26/DED-201(RECALL),"Up-Gradation of residences of HMPs Lok Sabha and Rajya Sabha at Dr. B.D. Marg under Sub Div-III, DED-201, New Delhi. Sub head SITC of 1 No. 10 Passenger Lifts at Brahmaputra Apartment .Subwork/Packages:SITC of 1 No. 10 Passenger Lifts at Brahmaputra Apartment.","₹18,59,572",06/06/2025 15:00,"₹37,191",06/06/2025 15:30
02/NIT/SE-Barasat/CPWD/2025-26,"Construction of Type-II 88 nos. Residential Quarter (S plus 11) for BN HQ, Basirhat at BSF Campus Rajarhat under South Bengal Frontier (Balance Work)Subwork/Packages:Construction of Type-II 88 nos. Residential Quarter.","₹10,19,91,820",09/06/2025 15:00,"₹20,19,918",09/06/2025 15:30
13/2025/SEcumPD/MNITPC/Jaipur,Providing Wi Fi System in 320 Bedded EWS Hostel in MNIT Jaipur,"₹1,72,53,343",13/06/2025 15:00,"₹3,45,067",13/06/2025 15:30
01/EE/BFD-V/CPWD/FZR/2025-26,"Consultancy services for preparation of Detailed Project Report, Cost and Time Estimate and Tender Documents and drawings for construction of axial roads (Roads leading from locations inside Indian Territory to Border Security Fence) along Indo-Pak Border under Ferozpur and Abohar Sector in the State of Punjab (Total Length-109.094 kms) (SH:- Complete work related to land acquisition such as survey, demarcation on ground, preparation of draft notifications and verifying them to revenue department etc. (Balance Works) Package-II(b)Subwork/Packages:SH:- Complete work related to land acquisition such as survey, demarcation on ground, preparation of draft notifications and verifying them to revenue department etc. (Balance Work) - Package-II(b)","₹78,01,094",10/06/2025 15:00,"₹1,56,022",10/06/2025 15:30
NIT15EERAJKOT202526,"Providing and Fixing vitrified tiles false ceiling wall panelling and otehr miscellaneous works at Executive Engineer Chamber at GPO, Rajkot","₹6,30,651",04/06/2025 15:00,"₹12,613",04/06/2025 15:30
04/EE(E)/Vadodara/2025-26,"Maintenance of Electrical & Mechanical services at Central Revenue Colony, Ghod Dod Road, Surat.Subwork/Packages:Comprehensive maintenance of 8 Nos. Kone make 13 Passenger Lifts during the year 2025-26 (01 Year)","₹12,60,384",06/06/2025 15:00,"₹25,208",06/06/2025 15:30
01/NIT/CE&ED-IIT(ISM)/CPWD/- (Modified),"Construction of 144 units (stilt plus 12) of Type-II (3 block) and 96 units (stilt plus 12) of Type-III (2 block) i/c internal water supply, sanitary installation, drainage, sewerage, STP(250 KLD), external water supply, U.G. tank (550000 litre), storm water drain, roads & paths, internal E.I. & Fans, wet riser system fire alarm system, UPS system, CCTV system, Hydro Pneumatic water supply system, substation equipments, DG set, Illuminated signages, street lighting, lifts, Horticulture & landscaping, transplantation of trees and other development work & bulk services (Civil & Electrical) in main campus at IIT(ISM) Dhanbad (2nd call)","₹1,39,19,18,272",12/06/2025 15:00,"₹1,49,19,183",12/06/2025 15:30
NIT13EERAJKOT202526,Up gradation of Quarter No 20 Type V at Central GST Race Course Colony Rajkot,"₹25,29,266",04/06/2025 15:00,"₹50,585",04/06/2025 15:30
03/CE/BFZ/EE(P-I)/2025-26,"Construction of Lateral & Axial Roads in the state of Punjab & Rajasthan along the Indo-Pakistan Border SH:- Lateral & Axial Road, Barmer Sector, Package-I, including 5 years maintenance (On EPC Mode).Subwork/Packages:Lateral & Axial Road, Barmer Sector, Package-I, including 5 years maintenance (On EPC Mode).","₹1,26,12,23,473",20/06/2025 15:00,"₹1,36,12,235",20/06/2025 15:30
17/EE(E)/Jaipur/CPWD/2025-26/AE(E)-I,Comprehensive maintenance of 13 Passenger Johnson Make lift at different sites located at Jaipur for the F.Y. 2025-26 & 2026-27.,"₹33,01,128",06/06/2025 15:00,"₹66,023",06/06/2025 15:30
NIT No. 13/ACED/2025-26,"AMC for 01 Nos. OTIS Lift at Incometax office building Civil Lines, Allahabad","₹1,19,136",10/06/2025 15:00,"₹2,383",10/06/2025 15:30
10/EE(E)/PLEWD/2025-26,"Providing Thermal Card Printers and Thermal PVC Pre-printed SCOSTA Cards in Parliament House Complex, New Delhi.","₹50,67,332",09/06/2025 15:00,"₹1,01,347",09/06/2025 15:30
12/EE/BHUPD-3/2024-25,Procurement of the furniture for Lecture Hall Complex (G plus 2) at IIT(BHU) VaranasiSubwork/Packages:Procurement of the furniture for Lecture Hall Complex (G plus 2) at IIT(BHU) Varanasi,"₹4,18,18,000",06/06/2025 15:00,"₹8,36,360",06/06/2025 15:30
07/CE(Bhopal)/EE-II/2025-26,"C/o Teaching and Research Lab (G plus 4) for Indian Institute of Science Education and Research (IISER) at Bhopal (M.P.). on EPC (Mode-1). SH: Planning, Designing and Construction of Teaching and Research Lab (G plus 4) consisting of Two No. Central Instrument Facility (CIF) hall (at G.F.), 24 Nos. Research Lab (6 nos. each at 1st Floor, 2nd Floor, 3rd Floor and 4th Floor), 24 nos. Research lab (6 nos. each at 1st Floor, 2nd Floor, 3rd Floor and 4th Floor), 24 nos. Faculty Room (6 nos. each at 1st Floor, 2nd Floor, 3rd Floor, and 4 Floor), 4 nos. Academic Lab (1 nos. each at 1st Floor, 2nd Floor, 3rd Floor and 4th Floor), AHU Rooms, Toilets with modular cubical and modular urinal partitions, other rooms (as per Architectural drawings), Accessible ramps, Parking area, Accessible road around the building and nearby development etc. including internal water supply, sanitary installation,   drainage, all E and M services such as internal E/I ......... including development with BIM models.","₹75,31,53,387",16/06/2025 15:00,"₹85,31,534",16/06/2025 15:30
06/NIT/CE-Ranchi/CPWD/2025-26,"Providing Audio Video System for PDCA Building at Doranda, Ranchi, JharkhandSubwork/Packages:Providing Audio Video System for PDCA Building at Doranda, Ranchi, Jharkhand","₹1,36,69,882",09/06/2025 15:00,"₹2,73,398",09/06/2025 15:30
08/EE&SM(C)-i/IPC/2025-26,"CONSTRUCTION OF HOSTEL ON PLOT NO. GH 04 AT IIT INDORE (MP) SH : PROVIDING SERVICES OF INSPECTION VEHICLE FOR AEE(C) O/O EE & SM(C)-I, CPWD, AT IIT CAMPUS SIMROL INDORE (MP)","₹17,91,625",04/06/2025 15:00,"₹35,833",04/06/2025 15:30
02/EE-cum-SM(E)/DPC-1/2025-26,"Creation of New Infrastructure at Surajmal Vihar Campus, Delhi University, DelhiSubwork/Packages:Providing services of DEO and office Assistant in the Office of EE-cum-SM(E), DPC-1, CPWD, New delhi","₹19,43,520",05/06/2025 15:00,"₹38,870",05/06/2025 15:30
24/EE/CSD/2025-26,A/R & M/O Works of Defence Pool Bungalows occupied by Defence Pool Officers under CSD (Central Secretariat Division) during 2025-26 (SH Attending day to day complaints by engaging labour including supply of materials and necessary repair and periodical works),"₹65,70,349",09/06/2025 15:00,"₹1,31,407",09/06/2025 15:30
35/AE(E)-2/DED-301/2025-26,"Running and maintenance of 125 KVA DG sets for MHRD, WB-2, R.K. Puram, New Delhi dg 2025-26(SH:- Repairing and annual Maintenance of DG set).","₹1,75,247",04/06/2025 15:00,"₹3,505",04/06/2025 15:30
07/SE/DC-8/DED-81/2025-2026,"Supplying and replacement of existing 600 TR capacity AC unit installed at MeitY building CGO Complex Lodhi Road, New Delhi.","₹1,69,47,875",05/06/2025 15:00,"₹3,38,958",05/06/2025 15:30
01/NIT/DC-IV/2025-26,"Up-keeping and Providing Management Services for caretaking, Housekeeping, Safety & Security of articles in Guest Houses (Comprising of 05 Nos of Suite Room, 15 Nos Transit Hostel Rooms, 18 Nos Deluxe Rooms in CPWD Guest House in Aliganj, 20 Nos Deluxe Rooms in Holiday Homes in West Kidwai Nagar and all common areas), Washing/Dry Cleaning of Furnishings, Mess Facility/Catering etc. including watch and ward of CPWD Guest House at Aliganj, Jorbagh Lane, New Delhi and CPWD Guest House for Central Government officers Holiday Homes at West Kidwai Nagar New Delhi during 2025-27.","₹4,72,22,276",06/06/2025 15:00,"₹9,44,446",06/06/2025 15:30
01/EE/IISER PD-I/Tirupati/2025-26,"Construction of Permanent Campus for IISER at Jangalapalli Village, Yerpedu Mandal, Chittoor District, Tirupati, Andhra Pradesh (Phase-I). SH: Construction of Bus-stop, Construction of Cattle catcher, Repairs to Compound wall, Auditorium letters painting and Revamping of Ground Floor Dining hall area, Underpass connecting pavement and other miscellaneous works at IISER Tirupati.","₹66,34,870",04/06/2025 15:00,"₹1,32,697",04/06/2025 15:30
14/EE/Lucknow-II/2025-26,Construction of boundary wall i/c electrical installation at National Centre for Disease Control Branch at Lucknow.Subwork/Packages:One,"₹82,53,659",04/06/2025 15:00,"₹1,65,073",04/06/2025 15:30
15/EE/Lucknow-II/2025-26,"Repair of Boundary Wall along with Main Gates of G.S.I. office campus at Aliganj, Lucknow, UP during FY: 2025-26.Subwork/Packages:One","₹66,39,386",04/06/2025 15:00,"₹1,32,788",04/06/2025 15:30
16/EE/Lucknow-II/2025-26,"Renovation of Gents & Ladies Toilet of B Block at all floor in GSI office building Aliganj, Lucknow.Subwork/Packages:One","₹82,53,380",04/06/2025 15:00,"₹1,65,068",04/06/2025 15:30
32/AE(E)/KCESD-III/KCED-I/CPWD/2025-26,"MOEI & fans i/c RMO water pump set, 16 Nos. Type-II qtr., substation building, main office building, periphery compound light etc. at the complex of Anthropological Survey of India at Salt Lake, Kolkata (SH: Servicing and repairing / replacement of spare parts of 2 Nos. 400 KVA DG set at Anthropological Survey of India , Salt Lake, Kolkata).","₹2,76,283",10/06/2025 15:00,"₹5,526",10/06/2025 15:30
39/EE/NDN/1N/2025-26,Upgradation to 112 D1 Flats & 104 Garages at Rabindra Nagar CPWD new Delhi during 2025-26. (SH Urgent Upgradation/ Renovation of miscellaneous work of kitchen and bathroom at Rabindra nagarSubwork/Packages:urgent Upgradation/ Renovation at miscellaneous work of kitchen and bathroom at Rabindra Nagar,"₹5,71,102",04/06/2025 15:00,"₹11,422",04/06/2025 15:30
01/CE(GZB)/NIT/2025-26,REPLACEMENT AND UPGRADATION OF VRV/VRF SYSTEM AT NVS AT B-15 SECTOR-62 NOIDA (SH: SITC OF VRV/VRF AC WORKS),"₹1,83,97,707",10/06/2025 15:00,"₹3,67,954",10/06/2025 15:30
06/NIT/EE-KOL-III/CPWD/2025-26 (3rd Call),"A/R & M/O at GB Block Income Tax Colony, Salt Lake, Kolkata during 2025-26. SH:- Day to day maintenance for cleaning and removing chokage of floor traps of bath & W.C. pan, Kitchen trap, surface drain, gully trap chambers etc.","₹6,78,036",04/06/2025 15:00,"₹13,561",04/06/2025 15:30
26/NIT/EE-KOL-III/CPWD/2025-26,"Day to day operation and maintenance of double deck Iron Removal Filtration Plant at Income Tax Complex Type-III and IV at Ultadanga, Kolkata during 2025-26","₹6,26,897",04/06/2025 15:00,"₹12,538",04/06/2025 15:30
04/NIT/AE (E)-I/EE & SM (E)/JSR/2025-26,"Providing running & maintenance of inspection vehicle for Govt. duty of Assistant Engineer (E) - I, II & III, CPWD, Jamshedpur, Jharkhand.Subwork/Packages:Providing running & maintenance of inspection vehicle for Govt. duty of Assistant Engineer (E) - I, II & III, CPWD, Jamshedpur, Jharkhand.","₹5,67,384",04/06/2025 15:00,"₹11,348",04/06/2025 15:30
30/AE(E)/KCESD-IV/KCED-II/CPWD/2025-26,"RMO of E&M Services in GPRA Complex at Tollygunge, Kolkata-700040.Subwork/Packages:Comprehensive Maintenance of 2 Nos. Kone make 08 Passenger lift & 13 Passenger lift at Type-III Block.","₹2,85,324",10/06/2025 15:00,"₹5,706",10/06/2025 15:30
27/NIT/EE-KOL-III/CPWD/2025-26,"Repair & Renovation work at Census, Sector-III, Salt Lake, Kolkata, West Bengal during 2025-26.","₹15,15,329",04/06/2025 15:00,"₹30,307",04/06/2025 15:30
12/AE-II/FD/2025-26,"Topographical survey for NII at NCR Biotech Science Cluster, Faridabad during 2025-26","₹5,19,103",06/06/2025 15:00,"₹10,382",06/06/2025 15:30
03/GED/2025-26 - Recall 1,"Routine comprehensive maintenance, operation & upkeeping of Electrical & Mechanical installations of compound, lights, street lights, DG Set, Sub station, Fire fighting system, Fire Alarm system, HVAC system, BMS system, CCTV system, lift, water supply pumps etc at Newly constructed RMRC  building and old building at BRD Medical College Gorakhpur.","₹33,45,752",04/06/2025 15:00,"₹66,915",04/06/2025 15:30
28/NIT/EE-KOL-III/CPWD/2025-26,"Restoration of RCC Roof slab of Type-II Quarter No. 855 & 856 in GPRA, IC, Block, Salt Lake, Kolkata during 2025-26.","₹21,25,620",04/06/2025 15:00,"₹42,512",04/06/2025 15:30
52/EE/Mumbai-IV/2025-26,"Providing and fixing of new safety gate with wire mesh and meter cabin repair works to CGH at Sector-I to IV, Antop Hill, Mumbai-37, during 2025-26.Subwork/Packages:Providing and fixing of new safety gate with wire mesh and meter cabin repair works to CGH at Sector-I to IV, Antop Hill, Mumbai-37, during 2025-26","₹25,70,024",05/06/2025 16:00,"₹51,400",05/06/2025 16:30
53/EE/Mumbai-IV/2025-26,"Replacing of damaged water supply main pipe line at KV school and miscellaneous work to CGH Colony, SPL, Kane Nagar in Sector-I to IV, Antop Hill, Mumbai-37 during 2025-26Subwork/Packages:Replacing of damaged water supply main pipe line at KV school and miscellaneous work to CGH Colony, SPL, Kane Nagar in Sector-I to IV, Antop Hill, Mumbai-37 during 2025-26.","₹23,96,702",04/06/2025 15:00,"₹47,934",04/06/2025 15:30
06/EE(E)/PLEWD/AE(E)-II/2025-26 - Recall 1,"Operation and Maintenance of Electrical & Mechanical Services at Parliament Library Building, New Delhi (S.H.: Repairing of sewerage & dewatering pump alongwith replacement of all essential defective accessories).","₹5,75,553",05/06/2025 15:00,"₹11,511",05/06/2025 15:30
